Name,Category,Summary,Path,Language,EntryPoints,Dependencies,Version,Tags
Analyze-JobLog,Analysis/Diff,Read a GitHub Actions job log (zip or text) and optionally locate a pattern.,icon-editor-lab-6/tools/Analyze-JobLog.ps1,PowerShell,Analyze-JobLog.ps1,,,"actions,analysis-diff,analyze,analyze-joblog,and,github,job,joblog"
Compare-RefsToTemp,Analysis/Diff,Compare RefsToTemp,icon-editor-lab-6/tools/Compare-RefsToTemp.ps1,PowerShell,Compare-RefsToTemp.ps1,,,"analysis-diff,compare,compare-refstotemp,refstotemp"
Compare-VIHistory,Analysis/Diff,Compare VIHistory,icon-editor-lab-6/tools/Compare-VIHistory.ps1,PowerShell,Compare-VIHistory.ps1,,,"analysis-diff,compare,compare-vihistory,vihistory"
Diff-FixtureValidationJson,Analysis/Diff,Computes a delta between two fixture validation JSON outputs.,icon-editor-lab-6/tools/Diff-FixtureValidationJson.ps1,PowerShell,Diff-FixtureValidationJson.ps1,,,"analysis-diff,between,computes,delta,diff,fixture,fixturevalidationjson,json"
Get-PRVIDiffManifest,Analysis/Diff,Generates a manifest of VI path pairs for pull-request comparisons.,icon-editor-lab-6/tools/Get-PRVIDiffManifest.ps1,PowerShell,Get-PRVIDiffManifest.ps1,,,"analysis-diff,comparisons.,for,generates,get,get-prvidiffmanifest,manifest,pairs"
Invoke-CompareCli,Analysis/Diff,Invoke CompareCli,icon-editor-lab-6/tools/Invoke-CompareCli.ps1,PowerShell,Invoke-CompareCli.ps1,,,"analysis-diff,comparecli,invoke,invoke-comparecli"
Invoke-PRVIStaging,Analysis/Diff,Stages VI pairs from a diff manifest using Stage-CompareInputs.,icon-editor-lab-6/tools/Invoke-PRVIStaging.ps1,PowerShell,Invoke-PRVIStaging.ps1,,,"analysis-diff,diff,invoke,invoke-prvistaging,manifest,pairs,prvistaging,stage-compareinputs."
Parse-CompareExec,Analysis/Diff,Parse CompareExec,icon-editor-lab-6/tools/Parse-CompareExec.ps1,PowerShell,Parse-CompareExec.ps1,,,"analysis-diff,compareexec,parse,parse-compareexec"
Run-CompareSequence,Analysis/Diff,Local lock (filesystem) to emulate 4-wire control,icon-editor-lab-6/tools/Run-CompareSequence.ps1,PowerShell,Run-CompareSequence.ps1,,,"analysis-diff,comparesequence,control,emulate,filesystem,local,lock,run"
Stage-CompareInputs,Analysis/Diff,Copy VI inputs into a temporary staging directory for safe LVCompare usage.,icon-editor-lab-6/tools/Stage-CompareInputs.ps1,PowerShell,Stage-CompareInputs.ps1,,,"analysis-diff,compareinputs,copy,directory,for,inputs,lvcompare,safe"
Tail-Snapshots,Analysis/Diff,Follow a metrics snapshots NDJSON file produced by -MetricsSnapshotPath and pretty-print selected fields.,icon-editor-lab-6/tools/Tail-Snapshots.ps1,PowerShell,Tail-Snapshots.ps1,,,"analysis-diff,and,fields.,follow,metrics,metricssnapshotpath,ndjson,pretty-print"
Write-CompareSummaryBlock,Analysis/Diff,Append a concise Compare VI block from compare-summary.json.,icon-editor-lab-6/tools/Write-CompareSummaryBlock.ps1,PowerShell,Write-CompareSummaryBlock.ps1,,,"analysis-diff,append,block,compare,comparesummaryblock,concise,write"
compare,Analysis/Diff,compare,icon-editor-lab-6/tools/compare,Mixed,,,,"analysis-diff,compare"
Build-Shared,Build/CI,Requires -Version 7.0,icon-editor-lab-6/tools/Build-Shared.ps1,PowerShell,Build-Shared.ps1,,,"build,build-ci,build-shared,requires,shared,version"
Build-ToolsImage,Build/CI,Requires -Version 7.0,icon-editor-lab-6/tools/Build-ToolsImage.ps1,PowerShell,Build-ToolsImage.ps1,,,"build,build-ci,build-toolsimage,requires,toolsimage,version"
Build-VSCExtension,Build/CI,Build VSCExtension,icon-editor-lab-6/tools/Build-VSCExtension.ps1,PowerShell,Build-VSCExtension.ps1,,,"build,build-ci,build-vscextension,vscextension"
Check-TrackedBuildArtifacts,Build/CI,Fails when tracked build artifacts are present in the repository.,icon-editor-lab-6/tools/Check-TrackedBuildArtifacts.ps1,PowerShell,Check-TrackedBuildArtifacts.ps1,,,"are,artifacts,build,build-ci,check,fails,present,repository."
