Requirement ID,Short Title,Verification Method(s),Tests,Scripts,Expected Artifacts
IELA-SRS-F-001,Dev Mode lifecycle,Test; Demonstration,tests/Enable-Disable-DevMode.Tests.ps1; tests/IconEditorDevMode.Tests.ps1; tests/IconEditorDevMode.Stability.Tests.ps1,tools/icon-editor/Enable-DevMode.ps1; tools/icon-editor/Disable-DevMode.ps1; tools/icon-editor/Assert-DevModeState.ps1; tools/icon-editor/Test-DevModeStability.ps1,tests/results/_agent/icon-editor/logs/
IELA-SRS-F-002,Rogue detection,Test; Inspection,tests/Prepare-LabVIEWHost.Tests.ps1,tools/Detect-RogueLV.ps1; tools/icon-editor/Prepare-LabVIEWHost.ps1,tests/results/_agent/icon-editor/rogue-lv/rogue-*.json
IELA-SRS-F-003,VI Analyzer headless,Test; Inspection,tests/Invoke-VIAnalyzer.Tests.ps1; tests/IconEditorMissingInProject.DevMode.Tests.ps1,tools/icon-editor/Invoke-VIAnalyzer.ps1,tests/results/_agent/vi-analyzer/<label>/report.html; tests/results/_agent/vi-analyzer/<label>/latest-run.json
IELA-SRS-F-004,LVCompare + reporting,Test; Inspection,tests/Render-ViComparisonReport.Tests.ps1; tests/Invoke-VIDiffSweep.Tests.ps1; tests/Invoke-VIDiffSweepStrong.Tests.ps1,tools/Run-HeadlessCompare.ps1; tools/TestStand-CompareHarness.ps1; tools/icon-editor/Render-ViComparisonReport.ps1,tests/results/_agent/reports/lvcompare/<label>/compare-report.html; tests/results/_agent/reports/lvcompare/<label>/session-index.json; tests/results/_agent/reports/lvcompare/latest-run.json
IELA-SRS-F-005,Fixture/snapshot reports,Test; Inspection,tests/Render-IconEditorFixtureReport.Tests.ps1; tests/Update-IconEditorFixtureReport.Tests.ps1,tools/icon-editor/Describe-IconEditorFixture.ps1; tools/icon-editor/Update-IconEditorFixtureReport.ps1; tools/icon-editor/Render-ViComparisonReport.ps1,tests/results/_agent/reports/icon-editor/fixture-*.md
IELA-SRS-F-006,VIPM packaging,Test; Demonstration,tests/Invoke-IconEditorVipPackaging.Tests.ps1; tests/IconEditorPackaging.Smoke.Tests.ps1; tests/Test-IconEditorPackage.Tests.ps1; tests/Invoke-IconEditorBuild.Tests.ps1,tools/icon-editor/Invoke-IconEditorBuild.ps1; tools/icon-editor/Invoke-VipmCliBuild.ps1; tools/icon-editor/IconEditorPackage.psm1,tests/results/_agent/icon-editor/packages/*.vip
IELA-SRS-F-007,Bundle export,Demonstration; Inspection,,tools/Export-LabTooling.ps1,artifacts/icon-editor-lab-tooling.zip
IELA-SRS-F-008,MissingInProject suite,Test; Inspection,tests/Invoke-MissingInProjectSuite.Tests.ps1; tests/Invoke-MissingInProjectCLI.Tests.ps1,tools/icon-editor/Invoke-MissingInProjectSuite.ps1; tools/icon-editor/Invoke-VIAnalyzer.ps1,tests/results/_agent/reports/missing-in-project/<label>.json
IELA-SRS-INT-001,Snapshot staging,Test; Inspection,tests/Invoke-IconEditorSnapshotFromRepo.Tests.ps1; tests/Stage-IconEditorSnapshot.Tests.ps1,tools/icon-editor/Invoke-IconEditorSnapshotFromRepo.ps1; tools/icon-editor/Stage-IconEditorSnapshot.ps1,tests/results/_agent/icon-editor/snapshots/*
IELA-SRS-INT-002,Headless env flags,Demonstration; Inspection,,tools/Run-HeadlessCompare.ps1,
IELA-SRS-NF-001,Reliability harness,Test; Analysis,tests/IconEditorDevMode.Stability.Tests.ps1,tools/icon-editor/Test-DevModeStability.ps1; tools/LabVIEWResolution.psm1,tests/results/_agent/icon-editor/stability/*.json
IELA-SRS-NF-002,Timeout enforcement,Demonstration; Inspection,tests/Prepare-LabVIEWHost.Tests.ps1,tools/icon-editor/Prepare-LabVIEWHost.ps1; tools/Run-HeadlessCompare.ps1,
IELA-SRS-NF-003,Configurability,Inspection; Analysis,tests/Invoke-VipmDependencies.Tests.ps1,tools/icon-editor/Invoke-VipmDependencies.ps1; tools/icon-editor/Replay-ApplyVipcJob.ps1,vendor/labview-icon-editor-lab/bundle/*; tests/results/_agent/icon-editor/logs/*

